Year,Model,Count
1950,Neural Network,10
1951,Neural Network,18
1952,Neural Network,11
1953,Neural Network,23
1954,Neural Network,15
1955,Neural Network,22
1956,Neural Network,25
1957,Neural Network,27
1958,Neural Network,29
1959,Neural Network,31
1960,Neural Network,45
1961,Neural Network,55
1962,Neural Network,68
1963,Neural Network,80
1964,Neural Network,66
1965,Neural Network,91
1966,Neural Network,120
1967,Neural Network,117
1968,Neural Network,114
1969,Neural Network,136
1970,Neural Network,328
1971,Neural Network,181
1972,Neural Network,208
1973,Neural Network,173
1974,Neural Network,223
1975,Neural Network,216
1976,Neural Network,244
1977,Neural Network,270
1978,Neural Network,384
1979,Neural Network,368
1980,Neural Network,345
1981,Neural Network,431
1982,Neural Network,466
1983,Neural Network,570
1984,Neural Network,542
1985,Neural Network,782
1986,Neural Network,1130
1987,Neural Network,1590
1988,Neural Network,3130
1989,Neural Network,4390
1990,Neural Network,8070
1991,Neural Network,10900
1992,Neural Network,13700
1993,Neural Network,16800
1994,Neural Network,20300
1995,Neural Network,21700
1996,Neural Network,24800
1997,Neural Network,27900
1998,Neural Network,35900
1999,Neural Network,39200
2000,Neural Network,40800
2001,Neural Network,47000
2002,Neural Network,54300
2003,Neural Network,64000
2004,Neural Network,75000
2005,Neural Network,84300
2006,Neural Network,95600
2007,Neural Network,99500
2008,Neural Network,108000
2009,Neural Network,122000
2010,Neural Network,130000
2011,Neural Network,133000
2012,Neural Network,137000
2013,Neural Network,146000
2014,Neural Network,155000
2015,Neural Network,129000
2016,Neural Network,149000
2017,Neural Network,115000
2018,Neural Network,58200
1950,Support Vector Machine,3
1951,Support Vector Machine,0
1952,Support Vector Machine,0
1953,Support Vector Machine,0
1954,Support Vector Machine,0
1955,Support Vector Machine,2
1956,Support Vector Machine,0
1957,Support Vector Machine,0
1958,Support Vector Machine,0
1959,Support Vector Machine,0
1960,Support Vector Machine,0
1961,Support Vector Machine,0
1962,Support Vector Machine,0
1963,Support Vector Machine,3
1964,Support Vector Machine,2
1965,Support Vector Machine,0
1966,Support Vector Machine,4
1967,Support Vector Machine,2
1968,Support Vector Machine,5
1969,Support Vector Machine,0
1970,Support Vector Machine,12
1971,Support Vector Machine,0
1972,Support Vector Machine,5
1973,Support Vector Machine,5
1974,Support Vector Machine,2
1975,Support Vector Machine,3
1976,Support Vector Machine,5
1977,Support Vector Machine,7
1978,Support Vector Machine,6
1979,Support Vector Machine,9
1980,Support Vector Machine,11
1981,Support Vector Machine,15
1982,Support Vector Machine,18
1983,Support Vector Machine,9
1984,Support Vector Machine,14
1985,Support Vector Machine,24
1986,Support Vector Machine,30
1987,Support Vector Machine,25
1988,Support Vector Machine,42
1989,Support Vector Machine,58
1990,Support Vector Machine,66
1991,Support Vector Machine,81
1992,Support Vector Machine,116
1993,Support Vector Machine,139
1994,Support Vector Machine,196
1995,Support Vector Machine,268
1996,Support Vector Machine,323
1997,Support Vector Machine,351
1998,Support Vector Machine,583
1999,Support Vector Machine,932
2000,Support Vector Machine,1140
2001,Support Vector Machine,1740
2002,Support Vector Machine,2870
2003,Support Vector Machine,4290
2004,Support Vector Machine,6470
2005,Support Vector Machine,8880
2006,Support Vector Machine,11600
2007,Support Vector Machine,14600
2008,Support Vector Machine,18300
2009,Support Vector Machine,21900
2010,Support Vector Machine,26200
2011,Support Vector Machine,29100
2012,Support Vector Machine,33300
2013,Support Vector Machine,35600
2014,Support Vector Machine,38000
2015,Support Vector Machine,38900
2016,Support Vector Machine,38000
2017,Support Vector Machine,38100
2018,Support Vector Machine,33500
1950,Random Forest,0
1951,Random Forest,0
1952,Random Forest,0
1953,Random Forest,0
1954,Random Forest,0
1955,Random Forest,0
1956,Random Forest,0
1957,Random Forest,0
1958,Random Forest,0
1959,Random Forest,0
1960,Random Forest,0
1961,Random Forest,2
1962,Random Forest,0
1963,Random Forest,0
1964,Random Forest,0
1965,Random Forest,0
1966,Random Forest,0
1967,Random Forest,2
1968,Random Forest,3
1969,Random Forest,3
1970,Random Forest,4
1971,Random Forest,2
1972,Random Forest,5
1973,Random Forest,7
1974,Random Forest,6
1975,Random Forest,2
1976,Random Forest,3
1977,Random Forest,3
1978,Random Forest,8
1979,Random Forest,6
1980,Random Forest,3
1981,Random Forest,5
1982,Random Forest,9
1983,Random Forest,7
1984,Random Forest,6
1985,Random Forest,8
1986,Random Forest,12
1987,Random Forest,14
1988,Random Forest,12
1989,Random Forest,12
1990,Random Forest,14
1991,Random Forest,9
1992,Random Forest,14
1993,Random Forest,16
1994,Random Forest,29
1995,Random Forest,27
1996,Random Forest,33
1997,Random Forest,36
1998,Random Forest,53
1999,Random Forest,63
2000,Random Forest,69
2001,Random Forest,85
2002,Random Forest,122
2003,Random Forest,199
2004,Random Forest,324
2005,Random Forest,440
2006,Random Forest,747
2007,Random Forest,1070
2008,Random Forest,1470
2009,Random Forest,2100
2010,Random Forest,2710
2011,Random Forest,3770
2012,Random Forest,5210
2013,Random Forest,6860
2014,Random Forest,10100
2015,Random Forest,13900
2016,Random Forest,18800
2017,Random Forest,24700
2018,Random Forest,20900
1950,Decision Tree,0
1951,Decision Tree,0
1952,Decision Tree,0
1953,Decision Tree,0
1954,Decision Tree,6
1955,Decision Tree,4
1956,Decision Tree,4
1957,Decision Tree,0
1958,Decision Tree,4
1959,Decision Tree,3
1960,Decision Tree,7
1961,Decision Tree,15
1962,Decision Tree,17
1963,Decision Tree,20
1964,Decision Tree,21
1965,Decision Tree,38
1966,Decision Tree,48
1967,Decision Tree,70
1968,Decision Tree,101
1969,Decision Tree,144
1970,Decision Tree,200
1971,Decision Tree,160
1972,Decision Tree,244
1973,Decision Tree,226
1974,Decision Tree,267
1975,Decision Tree,288
1976,Decision Tree,337
1977,Decision Tree,462
1978,Decision Tree,424
1979,Decision Tree,540
1980,Decision Tree,488
1981,Decision Tree,580
1982,Decision Tree,626
1983,Decision Tree,673
1984,Decision Tree,790
1985,Decision Tree,839
1986,Decision Tree,973
1987,Decision Tree,1170
1988,Decision Tree,1420
1989,Decision Tree,1560
1990,Decision Tree,1810
1991,Decision Tree,1910
1992,Decision Tree,2170
1993,Decision Tree,2420
1994,Decision Tree,2620
1995,Decision Tree,3110
1996,Decision Tree,3160
1997,Decision Tree,3970
1998,Decision Tree,4630
1999,Decision Tree,5210
2000,Decision Tree,5950
2001,Decision Tree,6790
2002,Decision Tree,8070
2003,Decision Tree,9400
2004,Decision Tree,11000
2005,Decision Tree,12300
2006,Decision Tree,14000
2007,Decision Tree,15900
2008,Decision Tree,18400
2009,Decision Tree,20300
2010,Decision Tree,21700
2011,Decision Tree,24300
2012,Decision Tree,29800
2013,Decision Tree,29800
2014,Decision Tree,31600
2015,Decision Tree,31600
2016,Decision Tree,31800
2017,Decision Tree,31000
2018,Decision Tree,26700
1950,Linear Regression,148
1951,Linear Regression,160
1952,Linear Regression,186
1953,Linear Regression,225
1954,Linear Regression,227
1955,Linear Regression,271
1956,Linear Regression,312
1957,Linear Regression,350
1958,Linear Regression,364
1959,Linear Regression,426
1960,Linear Regression,494
1961,Linear Regression,591
1962,Linear Regression,695
1963,Linear Regression,763
1964,Linear Regression,931
1965,Linear Regression,1070
1966,Linear Regression,1230
1967,Linear Regression,1450
1968,Linear Regression,1780
1969,Linear Regression,2090
1970,Linear Regression,2670
1971,Linear Regression,2820
1972,Linear Regression,3300
1973,Linear Regression,3800
1974,Linear Regression,4140
1975,Linear Regression,4770
1976,Linear Regression,5610
1977,Linear Regression,6910
1978,Linear Regression,7680
1979,Linear Regression,8530
1980,Linear Regression,8970
1981,Linear Regression,9980
1982,Linear Regression,12200
1983,Linear Regression,13300
1984,Linear Regression,14600
1985,Linear Regression,15500
1986,Linear Regression,16600
1987,Linear Regression,18800
1988,Linear Regression,20000
1989,Linear Regression,23000
1990,Linear Regression,27000
1991,Linear Regression,28700
1992,Linear Regression,30800
1993,Linear Regression,36900
1994,Linear Regression,42000
1995,Linear Regression,49300
1996,Linear Regression,56200
1997,Linear Regression,63800
1998,Linear Regression,71000
1999,Linear Regression,79400
2000,Linear Regression,84200
2001,Linear Regression,95600
2002,Linear Regression,106000
2003,Linear Regression,114000
2004,Linear Regression,132000
2005,Linear Regression,136000
2006,Linear Regression,141000
2007,Linear Regression,163000
2008,Linear Regression,167000
2009,Linear Regression,178000
2010,Linear Regression,173000
2011,Linear Regression,183000
2012,Linear Regression,171000
2013,Linear Regression,183000
2014,Linear Regression,165000
2015,Linear Regression,135000
2016,Linear Regression,85400
2017,Linear Regression,62500
2018,Linear Regression,69400
1950,Logistic Regression,2
1951,Logistic Regression,4
1952,Logistic Regression,15
1953,Logistic Regression,0
1954,Logistic Regression,4
1955,Logistic Regression,2
1956,Logistic Regression,9
1957,Logistic Regression,8
1958,Logistic Regression,0
1959,Logistic Regression,9
1960,Logistic Regression,4
1961,Logistic Regression,5
1962,Logistic Regression,4
1963,Logistic Regression,4
1964,Logistic Regression,9
1965,Logistic Regression,9
1966,Logistic Regression,14
1967,Logistic Regression,11
1968,Logistic Regression,16
1969,Logistic Regression,10
1970,Logistic Regression,38
1971,Logistic Regression,25
1972,Logistic Regression,15
1973,Logistic Regression,21
1974,Logistic Regression,34
1975,Logistic Regression,42
1976,Logistic Regression,53
1977,Logistic Regression,89
1978,Logistic Regression,102
1979,Logistic Regression,142
1980,Logistic Regression,229
1981,Logistic Regression,315
1982,Logistic Regression,513
1983,Logistic Regression,681
1984,Logistic Regression,1030
1985,Logistic Regression,1420
1986,Logistic Regression,1660
1987,Logistic Regression,2230
1988,Logistic Regression,2800
1989,Logistic Regression,3340
1990,Logistic Regression,4080
1991,Logistic Regression,4820
1992,Logistic Regression,5850
1993,Logistic Regression,6370
1994,Logistic Regression,8270
1995,Logistic Regression,10200
1996,Logistic Regression,11900
1997,Logistic Regression,14900
1998,Logistic Regression,18100
1999,Logistic Regression,22800
2000,Logistic Regression,33200
2001,Logistic Regression,42400
2002,Logistic Regression,49800
2003,Logistic Regression,64500
2004,Logistic Regression,77400
2005,Logistic Regression,91400
2006,Logistic Regression,108000
2007,Logistic Regression,112000
2008,Logistic Regression,126000
2009,Logistic Regression,135000
2010,Logistic Regression,135000
2011,Logistic Regression,136000
2012,Logistic Regression,136000
2013,Logistic Regression,126000
2014,Logistic Regression,110000
2015,Logistic Regression,98100
2016,Logistic Regression,80100
2017,Logistic Regression,58800
2018,Logistic Regression,39400
1950,Poisson Regression,0
1951,Poisson Regression,0
1952,Poisson Regression,0
1953,Poisson Regression,0
1954,Poisson Regression,0
1955,Poisson Regression,0
1956,Poisson Regression,2
1957,Poisson Regression,0
1958,Poisson Regression,0
1959,Poisson Regression,0
1960,Poisson Regression,0
1961,Poisson Regression,2
1962,Poisson Regression,0
1963,Poisson Regression,0
1964,Poisson Regression,3
1965,Poisson Regression,2
1966,Poisson Regression,7
1967,Poisson Regression,2
1968,Poisson Regression,0
1969,Poisson Regression,3
1970,Poisson Regression,8
1971,Poisson Regression,3
1972,Poisson Regression,2
1973,Poisson Regression,4
1974,Poisson Regression,3
1975,Poisson Regression,6
1976,Poisson Regression,6
1977,Poisson Regression,4
1978,Poisson Regression,10
1979,Poisson Regression,8
1980,Poisson Regression,14
1981,Poisson Regression,15
1982,Poisson Regression,10
1983,Poisson Regression,24
1984,Poisson Regression,29
1985,Poisson Regression,49
1986,Poisson Regression,66
1987,Poisson Regression,76
1988,Poisson Regression,110
1989,Poisson Regression,153
1990,Poisson Regression,186
1991,Poisson Regression,257
1992,Poisson Regression,315
1993,Poisson Regression,407
1994,Poisson Regression,485
1995,Poisson Regression,597
1996,Poisson Regression,769
1997,Poisson Regression,886
1998,Poisson Regression,987
1999,Poisson Regression,1230
2000,Poisson Regression,1450
2001,Poisson Regression,1890
2002,Poisson Regression,1700
2003,Poisson Regression,2230
2004,Poisson Regression,2660
2005,Poisson Regression,2920
2006,Poisson Regression,3360
2007,Poisson Regression,4430
2008,Poisson Regression,5190
2009,Poisson Regression,5200
2010,Poisson Regression,5830
2011,Poisson Regression,6820
2012,Poisson Regression,7650
2013,Poisson Regression,8670
2014,Poisson Regression,9610
2015,Poisson Regression,10200
2016,Poisson Regression,11000
2017,Poisson Regression,12000
2018,Poisson Regression,9400
1950,Cox Regression,0
1951,Cox Regression,0
1952,Cox Regression,0
1953,Cox Regression,0
1954,Cox Regression,0
1955,Cox Regression,0
1956,Cox Regression,0
1957,Cox Regression,0
1958,Cox Regression,0
1959,Cox Regression,2
1960,Cox Regression,2
1961,Cox Regression,0
1962,Cox Regression,0
1963,Cox Regression,0
1964,Cox Regression,2
1965,Cox Regression,0
1966,Cox Regression,2
1967,Cox Regression,0
1968,Cox Regression,4
1969,Cox Regression,0
1970,Cox Regression,5
1971,Cox Regression,3
1972,Cox Regression,2
1973,Cox Regression,3
1974,Cox Regression,7
1975,Cox Regression,8
1976,Cox Regression,9
1977,Cox Regression,17
1978,Cox Regression,33
1979,Cox Regression,50
1980,Cox Regression,68
1981,Cox Regression,81
1982,Cox Regression,128
1983,Cox Regression,166
1984,Cox Regression,226
1985,Cox Regression,296
1986,Cox Regression,368
1987,Cox Regression,344
1988,Cox Regression,430
1989,Cox Regression,482
1990,Cox Regression,593
1991,Cox Regression,674
1992,Cox Regression,709
1993,Cox Regression,788
1994,Cox Regression,1010
1995,Cox Regression,1150
1996,Cox Regression,1400
1997,Cox Regression,1640
1998,Cox Regression,1910
1999,Cox Regression,2190
2000,Cox Regression,2650
2001,Cox Regression,2990
2002,Cox Regression,3610
2003,Cox Regression,4210
2004,Cox Regression,5420
2005,Cox Regression,6800
2006,Cox Regression,6810
2007,Cox Regression,8150
2008,Cox Regression,9790
2009,Cox Regression,10700
2010,Cox Regression,11300
2011,Cox Regression,14300
2012,Cox Regression,16700
2013,Cox Regression,19400
2014,Cox Regression,21200
2015,Cox Regression,23200
2016,Cox Regression,24700
2017,Cox Regression,25000
2018,Cox Regression,18400
1950,Ridge Regression,0
1951,Ridge Regression,0
1952,Ridge Regression,3
1953,Ridge Regression,3
1954,Ridge Regression,4
1955,Ridge Regression,0
1956,Ridge Regression,0
1957,Ridge Regression,3
1958,Ridge Regression,2
1959,Ridge Regression,3
1960,Ridge Regression,3
1961,Ridge Regression,0
1962,Ridge Regression,0
1963,Ridge Regression,0
1964,Ridge Regression,0
1965,Ridge Regression,2
1966,Ridge Regression,4
1967,Ridge Regression,4
1968,Ridge Regression,0
1969,Ridge Regression,0
1970,Ridge Regression,16
1971,Ridge Regression,20
1972,Ridge Regression,26
1973,Ridge Regression,42
1974,Ridge Regression,70
1975,Ridge Regression,103
1976,Ridge Regression,117
1977,Ridge Regression,166
1978,Ridge Regression,199
1979,Ridge Regression,182
1980,Ridge Regression,204
1981,Ridge Regression,221
1982,Ridge Regression,230
1983,Ridge Regression,255
1984,Ridge Regression,261
1985,Ridge Regression,228
1986,Ridge Regression,232
1987,Ridge Regression,250
1988,Ridge Regression,270
1989,Ridge Regression,288
1990,Ridge Regression,302
1991,Ridge Regression,257
1992,Ridge Regression,323
1993,Ridge Regression,256
1994,Ridge Regression,355
1995,Ridge Regression,334
1996,Ridge Regression,334
1997,Ridge Regression,375
1998,Ridge Regression,404
1999,Ridge Regression,472
2000,Ridge Regression,456
2001,Ridge Regression,537
2002,Ridge Regression,611
2003,Ridge Regression,666
2004,Ridge Regression,901
2005,Ridge Regression,937
2006,Ridge Regression,1180
2007,Ridge Regression,1350
2008,Ridge Regression,1490
2009,Ridge Regression,1700
2010,Ridge Regression,1900
2011,Ridge Regression,2320
2012,Ridge Regression,2690
2013,Ridge Regression,3160
2014,Ridge Regression,3500
2015,Ridge Regression,3570
2016,Ridge Regression,4790
2017,Ridge Regression,6040
2018,Ridge Regression,5560
1950,Lasso Regression,0
1951,Lasso Regression,0
1952,Lasso Regression,0
1953,Lasso Regression,0
1954,Lasso Regression,0
1955,Lasso Regression,0
1956,Lasso Regression,0
1957,Lasso Regression,0
1958,Lasso Regression,0
1959,Lasso Regression,0
1960,Lasso Regression,0
1961,Lasso Regression,0
1962,Lasso Regression,0
1963,Lasso Regression,0
1964,Lasso Regression,0
1965,Lasso Regression,0
1966,Lasso Regression,0
1967,Lasso Regression,0
1968,Lasso Regression,0
1969,Lasso Regression,0
1970,Lasso Regression,0
1971,Lasso Regression,0
1972,Lasso Regression,0
1973,Lasso Regression,0
1974,Lasso Regression,0
1975,Lasso Regression,0
1976,Lasso Regression,0
1977,Lasso Regression,0
1978,Lasso Regression,0
1979,Lasso Regression,0
1980,Lasso Regression,0
1981,Lasso Regression,0
1982,Lasso Regression,0
1983,Lasso Regression,0
1984,Lasso Regression,0
1985,Lasso Regression,0
1986,Lasso Regression,0
1987,Lasso Regression,0
1988,Lasso Regression,0
1989,Lasso Regression,0
1990,Lasso Regression,0
1991,Lasso Regression,0
1992,Lasso Regression,2
1993,Lasso Regression,0
1994,Lasso Regression,2
1995,Lasso Regression,0
1996,Lasso Regression,2
1997,Lasso Regression,0
1998,Lasso Regression,5
1999,Lasso Regression,4
2000,Lasso Regression,8
2001,Lasso Regression,7
2002,Lasso Regression,16
2003,Lasso Regression,5
2004,Lasso Regression,28
2005,Lasso Regression,54
2006,Lasso Regression,74
2007,Lasso Regression,89
2008,Lasso Regression,150
2009,Lasso Regression,212
2010,Lasso Regression,325
2011,Lasso Regression,497
2012,Lasso Regression,590
2013,Lasso Regression,863
2014,Lasso Regression,1047
2015,Lasso Regression,1393
2016,Lasso Regression,1787
2017,Lasso Regression,2505
2018,Lasso Regression,2969
1950,Nearest Neighbor,0
1951,Nearest Neighbor,0
1952,Nearest Neighbor,0
1953,Nearest Neighbor,0
1954,Nearest Neighbor,0
1955,Nearest Neighbor,0
1956,Nearest Neighbor,0
1957,Nearest Neighbor,0
1958,Nearest Neighbor,2
1959,Nearest Neighbor,0
1960,Nearest Neighbor,2
1961,Nearest Neighbor,0
1962,Nearest Neighbor,2
1963,Nearest Neighbor,0
1964,Nearest Neighbor,0
1965,Nearest Neighbor,0
1966,Nearest Neighbor,5
1967,Nearest Neighbor,4
1968,Nearest Neighbor,9
1969,Nearest Neighbor,9
1970,Nearest Neighbor,21
1971,Nearest Neighbor,10
1972,Nearest Neighbor,21
1973,Nearest Neighbor,20
1974,Nearest Neighbor,38
1975,Nearest Neighbor,41
1976,Nearest Neighbor,44
1977,Nearest Neighbor,50
1978,Nearest Neighbor,68
1979,Nearest Neighbor,66
1980,Nearest Neighbor,85
1981,Nearest Neighbor,60
1982,Nearest Neighbor,76
1983,Nearest Neighbor,84
1984,Nearest Neighbor,79
1985,Nearest Neighbor,109
1986,Nearest Neighbor,108
1987,Nearest Neighbor,95
1988,Nearest Neighbor,123
1989,Nearest Neighbor,147
1990,Nearest Neighbor,185
1991,Nearest Neighbor,225
1992,Nearest Neighbor,294
1993,Nearest Neighbor,375
1994,Nearest Neighbor,442
1995,Nearest Neighbor,463
1996,Nearest Neighbor,527
1997,Nearest Neighbor,634
1998,Nearest Neighbor,760
1999,Nearest Neighbor,994
2000,Nearest Neighbor,1129
2001,Nearest Neighbor,1306
2002,Nearest Neighbor,1762
2003,Nearest Neighbor,2297
2004,Nearest Neighbor,2978
2005,Nearest Neighbor,3640
2006,Nearest Neighbor,4504
2007,Nearest Neighbor,4883
2008,Nearest Neighbor,6160
2009,Nearest Neighbor,7230
2010,Nearest Neighbor,8000
2011,Nearest Neighbor,9360
2012,Nearest Neighbor,10990
2013,Nearest Neighbor,12320
2014,Nearest Neighbor,13920
2015,Nearest Neighbor,15680
2016,Nearest Neighbor,17430
2017,Nearest Neighbor,19070
2018,Nearest Neighbor,14310
1950,Linear Discriminant Analysis,0
1951,Linear Discriminant Analysis,0
1952,Linear Discriminant Analysis,0
1953,Linear Discriminant Analysis,0
1954,Linear Discriminant Analysis,3
1955,Linear Discriminant Analysis,0
1956,Linear Discriminant Analysis,0
1957,Linear Discriminant Analysis,2
1958,Linear Discriminant Analysis,2
1959,Linear Discriminant Analysis,2
1960,Linear Discriminant Analysis,4
1961,Linear Discriminant Analysis,2
1962,Linear Discriminant Analysis,0
1963,Linear Discriminant Analysis,6
1964,Linear Discriminant Analysis,3
1965,Linear Discriminant Analysis,5
1966,Linear Discriminant Analysis,14
1967,Linear Discriminant Analysis,12
1968,Linear Discriminant Analysis,5
1969,Linear Discriminant Analysis,31
1970,Linear Discriminant Analysis,25
1971,Linear Discriminant Analysis,46
1972,Linear Discriminant Analysis,48
1973,Linear Discriminant Analysis,50
1974,Linear Discriminant Analysis,59
1975,Linear Discriminant Analysis,76
1976,Linear Discriminant Analysis,52
1977,Linear Discriminant Analysis,109
1978,Linear Discriminant Analysis,112
1979,Linear Discriminant Analysis,89
1980,Linear Discriminant Analysis,142
1981,Linear Discriminant Analysis,122
1982,Linear Discriminant Analysis,146
1983,Linear Discriminant Analysis,159
1984,Linear Discriminant Analysis,168
1985,Linear Discriminant Analysis,200
1986,Linear Discriminant Analysis,213
1987,Linear Discriminant Analysis,225
1988,Linear Discriminant Analysis,248
1989,Linear Discriminant Analysis,225
1990,Linear Discriminant Analysis,326
1991,Linear Discriminant Analysis,301
1992,Linear Discriminant Analysis,300
1993,Linear Discriminant Analysis,390
1994,Linear Discriminant Analysis,410
1995,Linear Discriminant Analysis,503
1996,Linear Discriminant Analysis,561
1997,Linear Discriminant Analysis,695
1998,Linear Discriminant Analysis,729
1999,Linear Discriminant Analysis,808
2000,Linear Discriminant Analysis,998
2001,Linear Discriminant Analysis,1120
2002,Linear Discriminant Analysis,1400
2003,Linear Discriminant Analysis,1850
2004,Linear Discriminant Analysis,2250
2005,Linear Discriminant Analysis,2960
2006,Linear Discriminant Analysis,3550
2007,Linear Discriminant Analysis,4100
2008,Linear Discriminant Analysis,4750
2009,Linear Discriminant Analysis,5570
2010,Linear Discriminant Analysis,6090
2011,Linear Discriminant Analysis,7030
2012,Linear Discriminant Analysis,8110
2013,Linear Discriminant Analysis,8790
2014,Linear Discriminant Analysis,9830
2015,Linear Discriminant Analysis,10600
2016,Linear Discriminant Analysis,11300
2017,Linear Discriminant Analysis,12800
2018,Linear Discriminant Analysis,9670
1950,Log-Linear Model,0
1951,Log-Linear Model,0
1952,Log-Linear Model,0
1953,Log-Linear Model,0
1954,Log-Linear Model,0
1955,Log-Linear Model,0
1956,Log-Linear Model,0
1957,Log-Linear Model,0
1958,Log-Linear Model,0
1959,Log-Linear Model,0
1960,Log-Linear Model,0
1961,Log-Linear Model,0
1962,Log-Linear Model,0
1963,Log-Linear Model,2
1964,Log-Linear Model,0
1965,Log-Linear Model,0
1966,Log-Linear Model,4
1967,Log-Linear Model,3
1968,Log-Linear Model,8
1969,Log-Linear Model,12
1970,Log-Linear Model,14
1971,Log-Linear Model,23
1972,Log-Linear Model,31
1973,Log-Linear Model,28
1974,Log-Linear Model,48
1975,Log-Linear Model,69
1976,Log-Linear Model,72
1977,Log-Linear Model,116
1978,Log-Linear Model,140
1979,Log-Linear Model,163
1980,Log-Linear Model,225
1981,Log-Linear Model,259
1982,Log-Linear Model,332
1983,Log-Linear Model,339
1984,Log-Linear Model,345
1985,Log-Linear Model,424
1986,Log-Linear Model,417
1987,Log-Linear Model,468
1988,Log-Linear Model,462
1989,Log-Linear Model,498
1990,Log-Linear Model,493
1991,Log-Linear Model,497
1992,Log-Linear Model,561
1993,Log-Linear Model,583
1994,Log-Linear Model,615
1995,Log-Linear Model,593
1996,Log-Linear Model,683
1997,Log-Linear Model,649
1998,Log-Linear Model,697
1999,Log-Linear Model,730
2000,Log-Linear Model,863
2001,Log-Linear Model,867
2002,Log-Linear Model,801
2003,Log-Linear Model,1040
2004,Log-Linear Model,1120
2005,Log-Linear Model,1310
2006,Log-Linear Model,1390
2007,Log-Linear Model,1670
2008,Log-Linear Model,1710
2009,Log-Linear Model,1830
2010,Log-Linear Model,2080
2011,Log-Linear Model,2180
2012,Log-Linear Model,2310
2013,Log-Linear Model,2200
2014,Log-Linear Model,2520
2015,Log-Linear Model,2430
2016,Log-Linear Model,2600
2017,Log-Linear Model,2430
2018,Log-Linear Model,2000
